upload_date,media_type,likes,shares,saves,engagement_rate
2024-11-30 09:25:22.954916,Reel,31627,4530,6393,4.97
2025-08-15 09:25:22.954916,Photo,63206,1680,6809,5.59
2025-09-11 09:25:22.954916,Reel,94373,1761,8367,8.29
2025-09-18 09:25:22.954916,Reel,172053,2875,9290,21.32
2025-03-21 09:25:22.954916,Video,99646,4444,9746,23.52
2025-05-06 09:25:22.954916,Carousel,10500,3601,5163,6.96
2025-09-21 09:25:22.954916,Carousel,193906,4384,5581,30.43
2025-01-06 09:25:22.954916,Carousel,27317,2352,11684,2.8
2025-10-13 09:25:22.954916,Photo,90827,570,13750,10.06
2025-03-10 09:25:22.954916,Photo,67067,3223,11741,5.65
2025-04-09 09:25:22.954916,Video,177091,1102,7257,17.25
2025-05-03 09:25:22.954916,Reel,75759,2970,7671,5.7
2025-08-23 09:25:22.954916,Reel,78492,3686,1694,6.91
2025-04-13 09:25:22.954916,Video,152517,275,12616,13.14
2025-03-16 09:25:22.954916,Reel,29834,1434,377,9.24
2024-12-06 09:25:22.954916,Reel,180946,3852,2095,8.66
2025-07-11 09:25:22.954916,Photo,120368,3429,12079,22.18
2025-01-08 09:25:22.954916,Reel,180326,2854,11160,17.25
2025-06-20 09:25:22.954916,Photo,111231,209,14970,154.84
2025-06-13 09:25:22.954916,Carousel,53222,3798,11000,7.97
2025-02-11 09:25:22.954916,Carousel,139872,1129,8812,9.0
2025-10-04 09:25:22.954916,Photo,179760,4286,13818,172.44
2025-02-26 09:25:22.954916,Photo,150007,3388,12082,8.2
2025-03-20 09:25:22.954916,Photo,56044,871,14241,15.58
2025-05-08 09:25:22.954916,Carousel,141510,2317,10188,9.22
2025-02-18 09:25:22.954916,Video,77071,2268,5573,333.54
2024-11-29 09:25:22.954916,Carousel,198903,2532,7163,12.64
2025-10-19 09:25:22.954916,Video,6178,4023,10970,9.21
2025-08-01 09:25:22.954916,Photo,83922,4502,10573,14.67
2025-07-26 09:25:22.954916,Reel,139696,1417,4470,11.63
2025-04-25 09:25:22.954916,Video,99119,15,14117,5.4
2025-05-25 09:25:22.954916,Carousel,182869,3131,9914,10.46
2025-04-17 09:25:22.954916,Reel,166153,4272,3066,125.82
2025-09-02 09:25:22.954916,Photo,30655,2969,12917,2.61
2025-07-14 09:25:22.954916,Photo,21308,4339,13055,5.67
2025-02-02 09:25:22.954916,Video,127939,1725,4116,18.65
2024-12-01 09:25:22.954916,Reel,51285,3797,2518,4.18
2025-11-08 09:25:22.954916,Reel,59876,461,7632,5.59
2025-04-11 09:25:22.954916,Reel,50998,2231,10468,4.0
2025-07-10 09:25:22.954916,Reel,18737,250,6172,1.83
2024-11-25 09:25:22.954916,Video,78059,419,8377,5.26
2025-01-24 09:25:22.954916,Carousel,65342,1139,3464,4.35
2025-10-21 09:25:22.954916,Carousel,140896,4453,2717,13.81
2025-06-09 09:25:22.954916,Video,113836,1319,10216,8.31
2025-06-28 09:25:22.954916,Carousel,9849,1503,14583,9.48
2025-07-29 09:25:22.954916,Video,199799,4736,1895,33.12
2025-05-17 09:25:22.954916,Reel,55951,4931,6761,6.63
2024-12-08 09:25:22.954916,Carousel,92643,160,12118,20.86
2025-07-23 09:25:22.954916,Photo,71897,48,9142,23.25
